"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"1"	0.8	801	0	0	0.00624219725343321	0.00624219725343321	-0.0657657114817186	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"2"	2.3	840	0.00238095238095238	0.00238095238095238	0.00238095238095238	0.00238095238095238	-0.0182247667127185	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"3"	3.8	811	0.00123304562268804	0.00123304562268804	0.00493218249075216	0.00493218249075216	-0.0533586044346648	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"4"	5.3	849	0	0	0.00353356890459364	0.00353356890459364	-0.00756747223873049	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"5"	6.8	800	0	0	0.00125	0.00125	-0.0670149308821505	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"6"	8.3	808	0.00123762376237624	0.00123762376237624	0.00123762376237624	0.00123762376237624	-0.0570646000289823	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"7"	9.8	838	0.00238663484486874	0.00119331742243437	0.00119331742243437	0.00119331742243437	-0.0206085580679948	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"8"	11.3	841	0.00356718192627824	0.00118906064209275	0.00118906064209275	0.00118906064209275	-0.0170349985771297	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"9"	12.8	821	0.00609013398294762	0.00243605359317905	0.00121802679658952	0.00121802679658952	-0.0411035490976496	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"10"	14.3	817	0.00611995104039168	0.00367197062423501	0.00122399020807834	0.00122399020807834	-0.0459875636900749	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"11"	15.8	810	0.00617283950617284	0.00246913580246914	0.00246913580246914	0.00246913580246914	-0.0545924108835934	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"12"	17.3	825	0.00242424242424242	0.00242424242424242	0.00121212121212121	0.00121212121212121	-0.0362432722153968	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"13"	18.8	783	0.00255427841634738	0.00255427841634738	0.00127713920817369	0.00127713920817369	-0.0884939625592747	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"14"	20.3	790	0.00506329113924051	0.00253164556962025	0.00126582278481013	0.00126582278481013	-0.0795937130890106	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"15"	21.8	825	0	0	0.00121212121212121	0.00121212121212121	-0.0362432722153968	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"16"	23.3	773	0.00388098318240621	0.00258732212160414	0.00129366106080207	0.00129366106080207	-0.101347609962656	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"17"	24.8	760	0.00394736842105263	0	0.00131578947368421	0.00131578947368421	-0.118308225269701	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"18"	26.3	767	0.00260756192959583	0.00260756192959583	0.00130378096479791	0.00130378096479791	-0.109139857182822	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"19"	27.8	869	0.00345224395857307	0.00230149597238205	0.00230149597238205	0.00230149597238205	0.0157164667153142	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"20"	29.3	858	0.00466200466200466	0.00233100233100233	0.00116550116550117	0.00116550116550117	0.00297744093788447	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"21"	30.8	858	0.0104895104895105	0.00582750582750583	0.00116550116550117	0.00116550116550117	0.00297744093788447	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"22"	32.3	925	0.0108108108108108	0.00540540540540541	0.00216216216216216	0.00216216216216216	0.0781670789623474	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"23"	33.8	950	0.00842105263157895	0.00631578947368421	0.00105263157894737	0	0.104835326044509	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"24"	35.3	950	0.00736842105263158	0.00210526315789474	0.00105263157894737	0	0.104835326044509	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"25"	36.8	923	0.00650054171180932	0.00216684723726977	0.00216684723726977	0.00216684723726977	0.0760025759527743	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"26"	38.3	922	0.00542299349240781	0.00325379609544469	0	0	0.0749185650065161	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180119_SBP-TQ_BTG2_rep1"	"1"	"27"	39.8	997	0.00501504513540622	0.00300902708124373	0	0	0.15312411141176	1
