"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"1"	0.9	527	0	0	0.047438330170778	0.0379506641366224	-0.0431348817849837	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"2"	2.4	533	0.0562851782363977	0.0356472795497186	0.0337711069418387	0.0300187617260788	-0.0318140061605015	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"3"	3.9	526	0.032319391634981	0.0209125475285171	0.00760456273764259	0.00570342205323194	-0.0450342175886362	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"4"	5.4	547	0.00182815356489945	0.00182815356489945	0.00182815356489945	0.00182815356489945	-0.00588662790436487	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"5"	6.9	578	0.0259515570934256	0.0173010380622837	0.00346020761245675	0.00346020761245675	0.0492384383460314	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"6"	8.4	613	0.0130505709624796	0.00978792822185971	0.00163132137030995	0.00163132137030995	0.108029505609865	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"7"	9.9	599	0.015025041736227	0.010016694490818	0.00166944908180301	0	0.0849261677891034	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"8"	11.4	621	0.0209339774557166	0.00805152979066022	0.00322061191626409	0	0.120995651607133	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"9"	12.9	640	0.021875	0.0046875	0.0015625	0.0015625	0.151132746027371	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"10"	14.4	651	0.021505376344086	0.010752688172043	0.00153609831029186	0.00153609831029186	0.168174211882223	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"11"	15.9	654	0.0321100917431193	0.0152905198776758	0.00152905198776758	0.00152905198776758	0.172771921130853	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"12"	17.4	698	0.0401146131805158	0.0214899713467049	0.00143266475644699	0.00143266475644699	0.237883672436026	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"13"	18.9	747	0.0321285140562249	0.0107095046854083	0	0	0.305729754806471	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"14"	20.4	748	0.0401069518716578	0.017379679144385	0.00133689839572193	0.00133689839572193	0.307067547648131	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"15"	21.9	758	0.029023746701847	0.0145118733509235	0.00131926121372032	0.00131926121372032	0.320347955316026	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"16"	23.4	790	0.0291139240506329	0.0126582278481013	0.00126582278481013	0.00126582278481013	0.361697515134721	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"17"	24.9	826	0.036319612590799	0.0145278450363196	0.00121065375302663	0.00121065375302663	0.406259343194632	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180329_SBT-TQ_ATF4_rep2"	"3"	"18"	26.4	839	0.0441001191895113	0.0202622169249106	0.00238379022646007	0.00238379022646007	0.42187527614086	1
