"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"1"	1.1	425	0	0	0.0188235294117647	0.0188235294117647	-0.0903937880462081	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"2"	2.6	423	0.0591016548463357	0.0425531914893617	0.0212765957446809	0.0189125295508274	-0.095110777924347	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"3"	4.1	416	0	0	0.00721153846153846	0.00721153846153846	-0.111797696709362	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"4"	5.6	415	0	0	0	0	-0.114204436739927	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"5"	7.1	441	0.00680272108843537	0.00680272108843537	0	0	-0.0534380815237789	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"6"	8.6	426	0	0	0	0	-0.0880436107012545	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"7"	10.1	440	0.00227272727272727	0.00227272727272727	0	0	-0.0557082300583181	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"8"	11.6	422	0.00710900473933649	0.0023696682464455	0	0	-0.0974776429346131	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"9"	13.1	432	0.0138888888888889	0.00694444444444444	0	0	-0.0740573687265145	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"10"	14.6	461	0.00867678958785249	0.00650759219088937	0	0	-0.00908491397397644	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"11"	16.1	488	0.00819672131147541	0.00409836065573771	0	0	0.0478324488825223	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"12"	17.6	509	0.00785854616895874	0.00392927308447937	0	0	0.0899650595798979	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"13"	19.1	533	0.0112570356472795	0.00938086303939963	0	0	0.13603846719522	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"14"	20.6	515	0.00970873786407767	0.00194174757281553	0	0	0.101683943693111	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"15"	22.1	520	0.0134615384615385	0.00576923076923077	0	0	0.111345854604848	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"16"	23.6	568	0.0105633802816901	0.00176056338028169	0	0	0.199638461750526	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"17"	25.1	561	0.0106951871657754	0.0035650623885918	0	0	0.187237948552071	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"18"	26.6	561	0.0124777183600713	0.0089126559714795	0	0	0.187237948552071	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"19"	28.1	587	0.0119250425894378	0.00681431005110733	0	0	0.232541862857471	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"20"	29.6	587	0.010221465076661	0.00851788756388416	0	0	0.232541862857471	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"21"	31.1	605	0.0132231404958678	0.00826446280991736	0	0	0.262745501060216	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"22"	32.6	610	0.0213114754098361	0.0131147540983607	0	0	0.270976000196732	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"23"	34.1	600	0.0116666666666667	0.00833333333333333	0	0	0.254446698245521	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"24"	35.6	616	0.0162337662337662	0.0113636363636364	0	0	0.280764006562895	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"25"	37.1	647	0.0185471406491499	0.0139103554868624	0	0	0.329863337530276	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"26"	38.6	615	0.016260162601626	0.0130081300813008	0	0	0.279139310835893	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"27"	40.1	630	0.0158730158730159	0.0126984126984127	0	0	0.303236862414954	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"28"	41.6	628	0.0127388535031847	0.00796178343949045	0	0	0.300057209497574	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"29"	43.1	639	0.0125195618153365	0.00782472613458529	0	0	0.31742149740691	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"30"	44.6	661	0.0151285930408472	0.00605143721633888	0	0	0.351270882881061	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"31"	46.1	702	0.00854700854700855	0.00712250712250712	0.00142450142450142	0.00142450142450142	0.411450447055186	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"32"	47.6	670	0.0134328358208955	0.00746268656716418	0.00149253731343284	0.00149253731343284	0.364794755414387	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"33"	49.1	694	0.0187319884726225	0.0100864553314121	0.00144092219020173	0.00144092219020173	0.39998900353618	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"34"	50.6	691	0.0159189580318379	0.0101302460202605	0.00144717800289436	0.00144717800289436	0.395656866797045	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"35"	52.1	699	0.0185979971387697	0.00858369098712446	0.00143061516452074	0.00143061516452074	0.407167785263185	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"36"	53.6	727	0.0110041265474553	0.00550206327372765	0.00275103163686382	0.00275103163686382	0.446443520562894	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"37"	55.1	719	0.023643949930459	0.0111265646731572	0.00139082058414465	0.00139082058414465	0.435378400750422	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"38"	56.6	713	0.0182328190743338	0.00701262272089762	0.00140252454417952	0.00140252454417952	0.426998463443671	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"39"	58.1	717	0.0237099023709902	0.00697350069735007	0.00139470013947001	0.00139470013947001	0.432592883628996	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"40"	59.6	720	0.0222222222222222	0.00694444444444444	0.00277777777777778	0.00277777777777778	0.436768255039476	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"41"	61.1	728	0.0233516483516484	0.010989010989011	0.00274725274725275	0.00274725274725275	0.447818091226061	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"42"	62.6	707	0.024045261669024	0.0113154172560113	0.00141442715700141	0.00141442715700141	0.418547708925948	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"43"	64.1	698	0.0329512893982808	0.0171919770773639	0.00143266475644699	0.00143266475644699	0.405736145791748	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"44"	65.6	720	0.0291666666666667	0.0152777777777778	0.00277777777777778	0.00277777777777778	0.436768255039476	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"45"	67.1	704	0.0284090909090909	0.0127840909090909	0	0	0.414295399187418	1
"AMI "	4.04	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"1"	1.1	525	0	0	0.0342857142857143	0.0266666666666667	0.120915305620999	2
