"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"1"	0.5	957.75091383812	0.00365535248041775	0.00261096605744125	0.00156657963446475	0.0010443864229765	0.291712180287359	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"2"	2	985	0.00456852791878173	0.00304568527918782	0.00101522842639594	0.00101522842639594	0.319766083728145	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"3"	3.5	1017.13969503197	0.0059026069847516	0.00393507132316773	0.00196753566158387	0.00196753566158387	0.351874189085051	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"4"	5	1022.66519823789	0.00391581008321096	0.00244738130200685	0.00146842878120411	0.00146842878120411	0.357291880491943	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"5"	6.5	1046.06118546845	0.00286806883365201	0.00239005736137667	0.001434034416826	0.000956022944550669	0.379911580181888	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"6"	8	1063.82352941176	0.00376470588235294	0.00282352941176471	0.000941176470588235	0.000941176470588235	0.396749242886038	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"7"	9.5	1099.55115961801	0.00272851296043656	0.00181900864029104	0.00181900864029104	0.000909504320145521	0.429781781361986	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"8"	11	1093.05855443733	0.00365965233302836	0.00320219579139982	0.000914913083257091	0.000914913083257091	0.423859501518449	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"9"	12.5	1120.22857142857	0.003125	0.00223214285714286	0.000446428571428571	0.000446428571428571	0.448412467656026	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"10"	14	1159.10440034513	0.00301984469370147	0.00215703192407248	0.000431406384814495	0.000431406384814495	0.482527359789961	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"11"	15.5	1151.79722101607	0.00390794615718628	0.00260529743812419	0.000868432479374729	0.000868432479374729	0.476203244894398	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"12"	17	1175.50021267546	0.00340280731603573	0.00170140365801786	0.000425350914504466	0.000425350914504466	0.496573491459565	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"13"	18.5	1182.70317124736	0.00422832980972516	0.00253699788583509	0.000422832980972516	0.000422832980972516	0.502682363171972	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"14"	20	1206.5101533361	0.00165768752590137	0.000828843762950684	0	0	0.522611743115029	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"15"	21.5	1228.51648351648	0.00366300366300366	0.00244200244200244	0.000407000407000407	0	0.54068705202311	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"16"	23	1276.22648902821	0.00666144200626959	0.00431034482758621	0.000783699059561128	0.000783699059561128	0.578787389948077	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"17"	24.5	1288.11180124224	0.00698757763975155	0.00504658385093168	0.000388198757763975	0	0.588057147659967	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"18"	26	1287.11188811189	0.0108780108780109	0.00582750582750583	0.000388500388500389	0.000388500388500389	0.587280583523242	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"19"	27.5	1297.24980724749	0.00732459521973786	0.00578257517347725	0	0	0.59512621221842	1
"AMI "	0.81	"HepG2 MDM2-GFP"	"20180112_SBP-TQ_MDM2_rep1"	"1"	"20"	29	1306.00689127106	0.00880551301684533	0.00650842266462481	0	0	0.601854029002598	1
