"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	1	1.1	620	0.032258064516129	0.0209677419354839	0.0870967741935484	0.082258064516129	-0.298119766424254	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	2	2.6	622	0.0401929260450161	0.0257234726688103	0.0739549839228296	0.0691318327974277	-0.294899151724212	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	3	4.1	631	0.0332805071315372	0.0269413629160063	0.0776545166402536	0.0681458003169572	-0.280533381922178	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	4	5.6	649	0.0385208012326656	0.0277349768875193	0.0631741140215717	0.0585516178736518	-0.252406527759301	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	5	7.1	663	0.0377073906485671	0.028657616892911	0.0361990950226244	0.0331825037707391	-0.231064254277529	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	6	8.6	646	0.0448916408668731	0.021671826625387	0.0263157894736842	0.0232198142414861	-0.257039740680789	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	7	10.1	651	0.0583717357910906	0.0384024577572965	0.010752688172043	0.00921658986175115	-0.249329602254822	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	8	11.6	683	0.0571010248901903	0.0336749633967789	0.00732064421669107	0.00585651537335286	-0.201344384892601	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	9	13.1	707	0.074964639321075	0.0367751060820368	0.00282885431400283	0.00282885431400283	-0.166808578566818	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	10	14.6	715	0.0965034965034965	0.034965034965035	0.0027972027972028	0.0027972027972028	-0.155556701769384	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	11	16.1	720	0.109722222222222	0.0527777777777778	0	0	-0.14858803245329	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	12	17.6	726	0.134986225895317	0.0606060606060606	0.00137741046831956	0.00137741046831956	-0.140289229638595	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180316_SBT-TQ_CHOP_rep2"	"2"	13	19.1	771	0.103761348897536	0.0466926070038911	0	0	-0.0801508709000616	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	14	20.6	794	0.110831234256927	0.052896725440806	0.00251889168765743	0.00251889168765743	-0.0507557832162554	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	15	22.1	846	0.133569739952719	0.0626477541371158	0.00118203309692671	0.00118203309692671	0.012680115142832	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	16	23.6	870	0.136781609195402	0.0620689655172414	0	0	0.0406539671852382	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	17	25.1	887	0.142051860202931	0.0721533258173619	0	0	0.0600057378461884	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	18	26.6	904	0.141592920353982	0.0630530973451327	0.00110619469026549	0.00110619469026549	0.0789901159287854	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	19	28.1	948	0.131856540084388	0.0590717299578059	0	0	0.126515257791631	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	20	29.6	961	0.136316337148803	0.068678459937565	0	0	0.140135164506901	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	21	31.1	950	0.130526315789474	0.0673684210526316	0	0	0.128622740131195	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	22	32.6	1001	0.165834165834166	0.0839160839160839	0.000999000999000999	0.000999000999000999	0.180915534851829	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	23	34.1	982	0.167006109979633	0.0865580448065173	0	0	0.161752063891075	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	24	35.6	1035	0.139130434782609	0.0657004830917874	0.000966183574879227	0.000966183574879227	0.214317461236078	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	25	37.1	1069	0.161833489242282	0.0720299345182413	0.000935453695042095	0.000935453695042095	0.246639666561654	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	26	38.6	1085	0.131797235023041	0.0635944700460829	0.000921658986175115	0.000921658986175115	0.261496021511169	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	27	40.1	1078	0.153988868274583	0.0769944341372913	0.000927643784786642	0.000927643784786642	0.255023507005551	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	28	41.6	1084	0.158671586715867	0.0811808118081181	0.000922509225092251	0.000922509225092251	0.2605739375362	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	29	43.1	1112	0.12589928057554	0.0557553956834532	0	0	0.286076230347136	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	30	44.6	1125	0.157333333333333	0.0782222222222222	0.000888888888888889	0.000888888888888889	0.297699070175129	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	31	46.1	1131	0.143236074270557	0.0733863837312113	0	0	0.303018231652729	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	32	47.6	1123	0.120213713268032	0.0569902048085485	0	0	0.295919710275052	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	33	49.1	1092	0.15018315018315	0.0750915750915751	0.00183150183150183	0.00183150183150183	0.267926911841459	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	34	50.6	1107	0.132791327913279	0.0569105691056911	0.000903342366757001	0.000903342366757001	0.281569688245246	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	35	52.1	1103	0.126019945602901	0.0652765185856754	0.000906618313689937	0.000906618313689937	0.277949774790111	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	36	53.6	1108	0.161552346570397	0.0830324909747292	0.00180505415162455	0.00180505415162455	0.282472622843838	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	37	55.1	1143	0.139982502187227	0.0594925634295713	0.00174978127734033	0.00174978127734033	0.31357241933142	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	38	56.6	1138	0.151142355008787	0.0746924428822496	0.00175746924428822	0.00175746924428822	0.309188370222885	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	39	58.1	1143	0.15748031496063	0.0804899387576553	0.000874890638670166	0.000874890638670166	0.31357241933142	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	40	59.6	1099	0.169244767970883	0.0755232029117379	0.00181983621474067	0.00181983621474067	0.27431670994023	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	41	61.1	1102	0.158802177858439	0.0834845735027223	0.00362976406533575	0.00362976406533575	0.277042745249469	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	42	62.6	1071	0.164332399626517	0.0784313725490196	0.00373482726423903	0.00373482726423903	0.248508825984358	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	43	64.1	1061	0.150801131008483	0.0697455230914232	0.00377002827521206	0.00377002827521206	0.239127894150592	1
"AMI "	0.81	"HepG2 CHOP-GFP"	"20180317_SBT-TQ_CHOP_rep2"	"2"	44	65.6	1055	0.177251184834123	0.0843601895734597	0.0028436018957346	0.0028436018957346	0.233456801446776	1
