"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"1"	1	691	0.0506512301013025	0.0332850940665702	0.0636758321273517	0.060781476121563	-0.119872050561624	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"2"	2.5	699	0.0515021459227468	0.0400572246065808	0.050071530758226	0.0457796852646638	-0.108361132095483	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"3"	4	692	0.0549132947976879	0.0375722543352601	0.0274566473988439	0.0245664739884393	-0.118425918711624	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"4"	5.5	710	0.0535211267605634	0.0352112676056338	0.00563380281690141	0.00563380281690141	-0.0927469042939323	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"5"	7	706	0.0453257790368272	0.0226628895184136	0.00141643059490085	0.00141643059490085	-0.0983966368360513	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"6"	8.5	756	0.0582010582010582	0.0277777777777778	0	0	-0.0299704981497604	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"7"	10	763	0.0511140235910878	0.0222804718217562	0	0	-0.0207538430448364	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"8"	11.5	809	0.0593325092707046	0.0296662546353523	0	0	0.0377870427291983	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"9"	13	808	0.0742574257425743	0.021039603960396	0	0	0.036550184191802	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"10"	14.5	878	0.061503416856492	0.0261958997722096	0	0	0.119634719305823	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"11"	16	904	0.0586283185840708	0.0199115044247788	0	0	0.148817486062883	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"12"	17.5	921	0.0738327904451683	0.0206297502714441	0	0	0.167448161926013	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"13"	19	953	0.0713536201469045	0.0293809024134313	0.00104931794333683	0	0.201603029324909	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"14"	20.5	996	0.0552208835341365	0.0271084337349398	0	0	0.245735383255305	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"15"	22	1000	0.058	0.03	0	0	0.249743404652844	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"16"	23.5	1026	0.0692007797270955	0.0341130604288499	0	0	0.275411151401421	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"17"	25	1056	0.0946969696969697	0.0416666666666667	0	0	0.304231589936913	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"18"	26.5	1052	0.0788973384030418	0.0361216730038023	0	0	0.300436518968362	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"19"	28	1081	0.0925069380203515	0.0416281221091582	0.000925069380203515	0.000925069380203515	0.327629943309915	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"20"	29.5	1121	0.0865298840321142	0.0392506690454951	0	0	0.363964548742867	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180406_SBT-TQ_ATF4_rep3"	"3"	"21"	31	1146	0.0759162303664921	0.0383944153577661	0.00174520069808028	0.00174520069808028	0.386021022945392	1
