"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"1"	1	1060	0.00377358490566038	0.000943396226415094	0	0	0.357162405925212	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"2"	2.5	1073	0.00186393289841566	0.000931966449207828	0	0	0.369351961449797	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"3"	4	1055	0.00568720379146919	0.0028436018957346	0	0	0.352434264729266	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"4"	5.5	1131	0.00884173297966401	0.00530503978779841	0	0	0.421995694935219	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"5"	7	1104	0.00905797101449275	0.00543478260869565	0	0	0.39783344565614	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"6"	8.5	1181	0.0118543607112616	0.00508044030482642	0	0	0.465255035016461	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"7"	10	1162	0.0103270223752151	0.00688468158347676	0	0	0.449036156230955	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"8"	11.5	1194	0.0100502512562814	0.00418760469011725	0	0	0.476202512771646	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"9"	13	1216	0.00904605263157895	0.00411184210526316	0	0	0.494460281345211	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"10"	14.5	1260	0.0126984126984127	0.00476190476190476	0	0	0.530005218764623	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"11"	16	1264	0.0134493670886076	0.00474683544303797	0	0	0.533174793525902	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"12"	17.5	1290	0.0116279069767442	0.00542635658914729	0	0	0.553535716174817	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"13"	19	1271	0.012588512981904	0.004720692368214	0	0	0.538697490008553	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"14"	20.5	1277	0.0101801096319499	0.00391542678151919	0	0	0.543407074851638	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"15"	22	1290	0.0186046511627907	0.00852713178294574	0	0	0.553535716174817	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"16"	23.5	1334	0.0187406296851574	0.00899550224887556	0	0	0.587075445294668	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"17"	25	1379	0.018854242204496	0.00870195794053662	0	0	0.620252096612401	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"18"	26.5	1368	0.0190058479532164	0.00730994152046784	0	0	0.612243317001595	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"19"	28	1447	0.0186592950932965	0.00760193503800968	0	0	0.668385945450583	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"20"	29.5	1437	0.0292275574112735	0.0104384133611691	0	0	0.661451104898124	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"21"	31	1399	0.043602573266619	0.0171551107934239	0	0	0.63465119348458	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"22"	32.5	1450	0.0524137931034483	0.0158620689655172	0	0	0.670457054233719	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"23"	34	1469	0.0496936691626957	0.0197413206262764	0	0	0.683475394992976	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"24"	35.5	1459	0.0452364633310487	0.021932830705963	0	0	0.676644767341885	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"25"	37	1424	0.0442415730337079	0.0168539325842697	0	0	0.65236331079102	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"26"	38.5	1467	0.0531697341513292	0.0143149284253579	0	0	0.682112996962081	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"27"	40	1519	0.0691244239631336	0.0256747860434496	0	0	0.716945721414872	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"28"	41.5	1507	0.0690112806901128	0.0238885202388852	0	0	0.709014417445594	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"29"	43	1506	0.0557768924302789	0.0239043824701195	0	0	0.708350627178938	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"30"	44.5	1487	0.0591795561533289	0.0188298587760592	0	0	0.695654165279254	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"31"	46	1536	0.0625	0.0240885416666667	0	0	0.728075132526716	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"32"	47.5	1517	0.0533948582729071	0.017798286090969	0	0	0.715628198167631	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"33"	49	1531	0.0653167864141084	0.0293925538863488	0	0	0.724814614476783	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"34"	50.5	1498	0.0667556742323097	0.0246995994659546	0	0	0.703024382896264	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"35"	52	1533	0.0626223091976517	0.0247879973907371	0	0	0.726120097690913	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"36"	53.5	1561	0.0723894939141576	0.025624599615631	0	0	0.744220139334531	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"37"	55	1514	0.071334214002642	0.0290620871862616	0	0	0.713648652816493	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"38"	56.5	1545	0.0653721682847896	0.0252427184466019	0	0	0.733917408150945	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"39"	58	1547	0.0820943762120233	0.0271493212669683	0	0	0.735211069392165	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"40"	59.5	1581	0.0626185958254269	0.0246679316888046	0	0	0.756951056028571	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"41"	61	1578	0.0652724968314322	0.0221799746514575	0	0	0.755051720224919	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"42"	62.5	1572	0.0693384223918575	0.022264631043257	0	0	0.751242191808251	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"43"	64	1570	0.078343949044586	0.0235668789808917	0	0	0.749969117161453	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"44"	65.5	1586	0.0762925598991173	0.032156368221942	0	0	0.760108621013892	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"45"	67	1593	0.0853735091023227	0.0301318267419962	0	0	0.764512528729148	1
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"1"	1	932	0.00107296137339056	0	0	0	0.22847103350469	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"2"	2.5	909	0.0022002200220022	0	0	0	0.203483312996578	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"3"	4	987	0.00303951367781155	0	0	0	0.285808258252581	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"4"	5.5	954	0.00524109014675052	0	0	0	0.251801890267385	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"5"	7	1033	0.00193610842207164	0	0	0	0.331360687938738	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"6"	8.5	1050	0.00476190476190476	0.000952380952380952	0	0	0.347683661970668	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"7"	10	1080	0.00555555555555556	0.000925925925925926	0	0	0.375854538937364	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"8"	11.5	1107	0.00632339656729901	0.000903342366757001	0	0	0.400547151527736	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"9"	13	1112	0.00539568345323741	0.000899280575539568	0	0	0.405053693629627	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"10"	14.5	1130	0.00707964601769911	0.00176991150442478	0	0	0.421111130525485	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"11"	16	1178	0.0101867572156197	0.00254668930390492	0	0	0.462711583030631	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"12"	17.5	1227	0.0138549307253464	0.006519967400163	0	0	0.50346566353001	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"13"	19	1218	0.0147783251231527	0.00410509031198686	0	0	0.496103667088941	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"14"	20.5	1244	0.022508038585209	0.00643086816720257	0	0	0.517225492118224	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"15"	22	1240	0.0532258064516129	0.0193548387096774	0	0	0.514004877418181	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"16"	23.5	1282	0.0920436817472699	0.0327613104524181	0	0	0.547314856299714	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"17"	25	1297	0.0840400925212028	0.0331534309946029	0	0	0.558947403135543	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"18"	26.5	1302	0.0906298003072197	0.0360983102918587	0	0	0.562795041587614	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"19"	28	1301	0.0968485780169101	0.0307455803228286	0	0	0.562026697331604	2
"AMI "	4.04	"HepG2 BTG2-GFP"	"20180427_SBP-TQ_BTG2_rep2"	"2"	"20"	29.5	1370	0.072992700729927	0.0240875912408759	0	0	0.61370423764127	2
