"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	1	0.6	410	0.124390243902439	0.102439024390244	0.0560975609756098	0.0487804878048781	-0.316359637671293	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	2	2.6	428	0.088785046728972	0.0467289719626168	0.0186915887850467	0.0163551401869159	-0.27339360178785	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	3	4.6	404	0	0	0.00495049504950495	0.00495049504950495	-0.331101919408496	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	4	6.6	438	0.0844748858447489	0.0525114155251142	0.00684931506849315	0.00684931506849315	-0.2502978869932	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	5	8.6	452	0.210176991150442	0.0973451327433628	0.00442477876106195	0.00442477876106195	-0.218834617537415	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	6	10.6	457	0.166301969365427	0.0656455142231947	0.00218818380743982	0.00218818380743982	-0.207833406475442	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	7	12.6	444	0.101351351351351	0.0563063063063063	0.00225225225225225	0.00225225225225225	-0.236692234937422	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	8	14.6	466	0.124463519313305	0.0600858369098712	0.00214592274678112	0.00214592274678112	-0.188331163244001	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	9	16.6	489	0.118609406952965	0.0511247443762781	0.00408997955010225	0.00408997955010225	-0.140154307894774	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	10	18.6	496	0.181451612903226	0.0846774193548387	0.00604838709677419	0.00604838709677419	-0.125940870644719	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	11	20.6	491	0.189409368635438	0.0753564154786151	0.00814663951120163	0.00610997963340122	-0.136072669575126	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	12	24.7	493	0.137931034482759	0.0466531440162272	0.00608519269776876	0.00608519269776876	-0.132007623326956	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	13	26.7	517	0.174081237911025	0.0889748549323017	0.00386847195357834	0.00193423597678917	-0.0844739228612173	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	14	28.7	528	0.172348484848485	0.0871212121212121	0	0	-0.0634205136633849	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	15	30.7	539	0.204081632653061	0.0834879406307978	0.00185528756957328	0	-0.0428012264606492	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	16	32.7	556	0.190647482014388	0.079136690647482	0.00179856115107914	0.00179856115107914	-0.011748503119064	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	17	34.7	570	0.252631578947368	0.0947368421052632	0.00175438596491228	0.00175438596491228	0.0131195634589494	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	18	36.7	586	0.216723549488055	0.0784982935153584	0.00341296928327645	0.00170648464163823	0.0408029922073663	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	19	38.7	594	0.2003367003367	0.0993265993265993	0.00168350168350168	0.00168350168350168	0.0543625219929984	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	20	40.7	609	0.195402298850575	0.0853858784893268	0	0	0.0793014703402506	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	21	46.5	595	0.203361344537815	0.080672268907563	0.00336134453781513	0.00168067226890756	0.0560446081759832	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	22	48.5	596	0.187919463087248	0.063758389261745	0.00503355704697987	0.00335570469798658	0.0577238696957034	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	23	50.5	621	0.188405797101449	0.0740740740740741	0.00322061191626409	0.00322061191626409	0.0988142845638324	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	24	52.5	592	0.209459459459459	0.0844594594594595	0.00337837837837838	0.00337837837837838	0.0509898375143592	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	25	54.5	610	0.211475409836066	0.0983606557377049	0.00491803278688525	0.00327868852459016	0.0809421597977105	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	26	56.5	633	0.191153238546603	0.0853080568720379	0.00157977883096367	0.00157977883096367	0.11795362477453	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	27	58.5	634	0.200315457413249	0.0851735015772871	0.00788643533123028	0.00315457413249211	0.119532157067579	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	28	60.5	633	0.191153238546603	0.0963665086887836	0.004739336492891	0.004739336492891	0.11795362477453	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	29	62.5	633	0.165876777251185	0.0758293838862559	0.0110584518167457	0.00789889415481832	0.11795362477453	1
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	1	0.6	519	0.159922928709056	0.109826589595376	0.0616570327552987	0.0539499036608863	-0.0806129142037578	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	2	2.6	501	0.119760479041916	0.0738522954091816	0.00998003992015968	0.00798403193612774	-0.115910696284782	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	3	4.6	503	0.125248508946322	0.0715705765407555	0.00198807157057654	0.00198807157057654	-0.111926627269907	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	4	6.6	517	0.129593810444874	0.0560928433268859	0.00193423597678917	0	-0.0844739228612173	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	5	8.6	554	0.00180505415162455	0	0	0	-0.0153521106223627	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	6	10.6	553	0.0054249547920434	0	0	0	-0.0171587958473117	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	7	12.6	554	0.0036101083032491	0	0	0	-0.0153521106223627	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	8	14.6	575	0.130434782608696	0.0643478260869565	0	0	0.0218532434277041	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	9	16.6	602	0.186046511627907	0.0780730897009967	0.00166112956810631	0	0.0677406479391746	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	10	18.6	623	0.123595505617978	0.0465489566613162	0	0	0.102029721417807	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	11	20.6	609	0.151067323481117	0.0574712643678161	0	0	0.0793014703402506	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	12	24.7	628	0.130573248407643	0.0445859872611465	0.00159235668789809	0	0.110023369098552	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	13	26.7	628	0.218152866242038	0.089171974522293	0.00159235668789809	0.00159235668789809	0.110023369098552	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	14	28.7	646	0.176470588235294	0.0743034055727554	0.00309597523219814	0	0.138282706412955	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	15	30.7	669	0.200298953662182	0.0881913303437967	0.00149476831091181	0	0.173267262758582	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	16	32.7	659	0.236722306525038	0.0849772382397572	0.00303490136570561	0	0.158206737132861	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	17	34.7	651	0.184331797235023	0.0737327188940092	0.00307219662058372	0.00153609831029186	0.145992844838923	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	18	36.7	654	0.128440366972477	0.0565749235474006	0.00152905198776758	0	0.150590554087552	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	19	38.7	680	0.0411764705882353	0.0220588235294118	0.00294117647058824	0.00147058823529412	0.189576000800506	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	20	40.7	696	0.103448275862069	0.0445402298850575	0.00574712643678161	0.0014367816091954	0.212832862964773	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	21	46.5	723	0.157676348547718	0.0774550484094053	0.004149377593361	0.004149377593361	0.250892424789118	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	22	48.5	723	0.135546334716459	0.0677731673582296	0.00553250345781466	0.00276625172890733	0.250892424789118	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	23	50.5	743	0.135935397039031	0.0686406460296097	0.00672947510094213	0.00269179004037685	0.278179247348113	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	24	52.5	712	0.195224719101124	0.0842696629213483	0.00561797752808989	0.00421348314606742	0.235561114042329	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	25	54.5	740	0.187837837837838	0.0851351351351351	0.00405405405405405	0.0027027027027027	0.274133388828569	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	26	56.5	735	0.17687074829932	0.0870748299319728	0.0054421768707483	0.00136054421768707	0.26735370184319	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	27	58.5	725	0.173793103448276	0.0910344827586207	0.00689655172413793	0.00275862068965517	0.253654857485028	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	28	60.5	716	0.138268156424581	0.0754189944134078	0.00977653631284916	0.00418994413407821	0.241163369590999	2
"AMI "	4.04	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	29	62.5	738	0.226287262872629	0.107046070460705	0.00948509485094851	0.00542005420054201	0.271427027230826	2
"AMI "	8.07	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	1	0.6	578	0.0397923875432526	0.0294117647058824	0.0103806228373702	0.0103806228373702	0.0270570713027311	3
"AMI "	8.07	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	2	2.6	572	0.0034965034965035	0.00174825174825175	0	0	0.0166221940101514	3
"AMI "	8.07	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	3	4.6	570	0	0	0	0	0.0131195634589494	3
"AMI "	8.07	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	4	6.6	574	0.0696864111498258	0.0348432055749129	0	0	0.0201125989499201	3
"AMI "	8.07	"HepG2 NRF-2-GFP"	"20180504_SBP-TQ_NRF2_rep2"	"2"	5	8.6	591	0.223350253807107	0.1082910321489	0	0	0.0492992200364517	3
