"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"1"	0.6	656	0.134146341463415	0.0975609756097561	0.0533536585365854	0.0533536585365854	-0.062585321425772	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"2"	2.6	676	0.0843195266272189	0.0621301775147929	0.0428994082840237	0.0428994082840237	-0.032553034326897	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"3"	4.6	683	0.0863836017569546	0.0453879941434846	0.0102489019033675	0.0102489019033675	-0.022251250799071	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"4"	6.6	716	0.0935754189944134	0.058659217877095	0.00837988826815642	0.00837988826815642	0.0249340565907845	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"5"	8.6	737	0.131614654002714	0.0759837177747626	0.00271370420624152	0.00271370420624152	0.0538417818194755	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"6"	10.6	798	0.12781954887218	0.0726817042606516	0.006265664160401	0.006265664160401	0.133362487079948	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"7"	12.6	852	0.133802816901408	0.0657276995305164	0.00234741784037559	0.00234741784037559	0.198840416459455	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"8"	14.6	891	0.140291806958474	0.0707070707070707	0.00224466891133558	0.00224466891133558	0.243598317100948	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"9"	16.6	935	0.155080213903743	0.06524064171123	0.00320855614973262	0.00320855614973262	0.291800418918826	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"10"	18.6	965	0.135751295336788	0.0642487046632124	0.00310880829015544	0.00310880829015544	0.323381990969125	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"11"	20.6	988	0.134615384615385	0.0617408906882591	0.00404858299595142	0.00404858299595142	0.346936587378007	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"12"	22.6	1016	0.130905511811024	0.0541338582677165	0.00393700787401575	0.00393700787401575	0.374882517768566	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"13"	24.6	1053	0.132003798670465	0.056980056980057	0.00664767331433998	0.00664767331433998	0.410652401764114	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"14"	26.6	1048	0.129770992366412	0.0572519083969466	0.00858778625954199	0.00858778625954199	0.405892754511126	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"15"	28.6	1062	0.147834274952919	0.0706214689265537	0.00564971751412429	0.00564971751412429	0.419163091432023	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"16"	30.6	1088	0.147977941176471	0.0615808823529412	0.00459558823529412	0.00459558823529412	0.443350317046027	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"17"	32.6	1087	0.155473781048758	0.0689972401103956	0.00827966881324747	0.00827966881324747	0.442430776751348	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"18"	34.6	1108	0.143501805054152	0.046028880866426	0.00451263537906137	0.00451263537906137	0.461565756937368	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"19"	36.6	1096	0.143248175182482	0.0647810218978102	0.00547445255474453	0.00547445255474453	0.4506763571381	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"20"	38.6	1107	0.140921409214092	0.0587172538392051	0.00903342366757001	0.00903342366757001	0.460662822338776	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"21"	40.6	1105	0.14841628959276	0.053393665158371	0.0081447963800905	0.0081447963800905	0.458854503581992	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"22"	42.6	1139	0.151009657594381	0.0693590869183494	0.00877963125548727	0.00877963125548727	0.489159853077321	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"23"	44.6	1113	0.135669362084456	0.0566037735849057	0.00898472596585804	0.00898472596585804	0.466068240905684	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"24"	46.6	1147	0.153443766346992	0.0714908456843941	0.010462074978204	0.010462074978204	0.49615900675951	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"25"	48.6	1141	0.149868536371604	0.0613496932515337	0.0113935144609991	0.0113935144609991	0.490914239492215	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"26"	50.6	1177	0.134239592183517	0.0586236193712829	0.0101954120645709	0.0101954120645709	0.521977996890416	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"27"	52.6	1182	0.139593908629442	0.0668358714043993	0.0050761421319797	0.0050761421319797	0.526217087596182	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"28"	54.6	1182	0.126057529610829	0.0516074450084602	0.00761421319796954	0.00761421319796954	0.526217087596182	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"29"	56.6	1181	0.127857747671465	0.056731583403895	0.00677392040643522	0.00677392040643522	0.525370705827501	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"30"	58.6	1181	0.118543607112616	0.0533446232006774	0.00508044030482642	0.00508044030482642	0.525370705827501	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"31"	60.6	1177	0.135089209855565	0.0569243840271878	0.0101954120645709	0.0101954120645709	0.521977996890416	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"32"	62.6	1191	0.132661628883291	0.0520570948782536	0.0125944584382872	0.0125944584382872	0.533802458985439	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"33"	64.6	1195	0.137238493723849	0.0527196652719665	0.00920502092050209	0.00920502092050209	0.53715535399575	1
"AMI "	0.81	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"34"	66.6	1227	0.15240423797881	0.0603096984515077	0.00814995925020375	0.00814995925020375	0.56358133434105	1
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"1"	0.6	770	0.051948051948052	0.038961038961039	0.0220779220779221	0.0220779220779221	0.0976444044778684	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"2"	2.6	775	0.0374193548387097	0.0232258064516129	0.00129032258064516	0.00129032258064516	0.104116918983486	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"3"	4.6	855	0.0491228070175439	0.0257309941520468	0.00233918128654971	0.00233918128654971	0.202355358566899	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"4"	6.6	853	0.0715123094958968	0.0304806565064478	0	0	0.200013437121818	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"5"	8.6	890	0	0	0.00112359550561798	0.00112359550561798	0.242475352356324	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"6"	10.6	944	0.0942796610169492	0.0466101694915254	0.00105932203389831	0.00105932203389831	0.30138005577564	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"7"	12.6	985	0.0883248730964467	0.0345177664974619	0	0	0.343895530802228	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"8"	14.6	1044	0.112068965517241	0.0431034482758621	0.0028735632183908	0.0028735632183908	0.402068658072723	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"9"	16.6	1077	0.108635097493036	0.0445682451253482	0	0	0.433188566786527	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"10"	18.6	1096	0.102189781021898	0.0465328467153285	0.00182481751824818	0.00182481751824818	0.4506763571381	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"11"	20.6	1125	0.141333333333333	0.0524444444444444	0.00177777777777778	0.00177777777777778	0.476792204268659	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"12"	22.6	1118	0.0885509838998211	0.0313059033989267	0.00178890876565295	0.00178890876565295	0.470550543345183	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"13"	24.6	1167	0.0814053127677806	0.0299914310197087	0	0	0.513445521916695	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"14"	26.6	1206	0.0713101160862355	0.0232172470978441	0	0	0.54631826691727	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"15"	28.6	1199	0.0834028356964137	0.0300250208507089	0.000834028356964137	0.000834028356964137	0.540497044657653	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"16"	30.6	1204	0.0722591362126246	0.0240863787375415	0	0	0.544658515498905	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"17"	32.6	1229	0.03173311635476	0.0105777054515867	0.00244100895036615	0.00244100895036615	0.565209999196174	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"18"	34.6	1253	0.00239425379090184	0.00159616919393456	0.00239425379090184	0.00239425379090184	0.584549844526207	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"19"	36.6	1237	0.0323362974939369	0.0113177041228779	0.000808407437348424	0.000808407437348424	0.571698262022627	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"20"	38.6	1252	0.0167731629392971	0.00399361022364217	0.00159744408945687	0.00159744408945687	0.583751441290183	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"21"	40.6	1266	0.0244865718799368	0.00789889415481832	0.0023696682464455	0.0023696682464455	0.59487149233426	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"22"	42.6	1272	0.0180817610062893	0.00707547169811321	0.00393081761006289	0.00393081761006289	0.599599633530206	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"23"	44.6	1300	0.04	0.0123076923076923	0.00307692307692308	0.00307692307692308	0.621373433079767	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"24"	46.6	1297	0.0215882806476484	0.0107941403238242	0.0030840400925212	0.0030840400925212	0.619063073946583	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"25"	48.6	1332	0.0608108108108108	0.018018018018018	0.00225225225225225	0.00225225225225225	0.645690740730473	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"26"	50.6	1319	0.042456406368461	0.0136467020470053	0.00227445034116755	0.00227445034116755	0.635883042347454	2
"AMI "	4.04	"HepG2 HMOX-GFP"	"20180706_SBP-TQ_HMOX_rep2"	"2"	"27"	52.6	1327	0.0384325546345139	0.014318010550113	0.00376789751318764	0.00376789751318764	0.641929923962346	2
