"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"1"	0.6	1052	0.0237642585551331	0.0104562737642586	0	0	0.160551800770241	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"2"	2.1	1099	0.0555050045495905	0.0272975432211101	0.000909918107370337	0.000909918107370337	0.204259361876207	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"3"	3.6	1138	0.070298769771529	0.0281195079086116	0	0	0.239131022158862	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"4"	5.1	1194	0.085427135678392	0.0469011725293132	0	0	0.287167701425134	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"5"	6.6	1178	0.106960950764007	0.0475382003395586	0	0	0.273676771684118	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"6"	8.1	1181	0.117696867061812	0.0491109229466554	0	0	0.276220223669949	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"7"	9.6	1236	0.139967637540453	0.0711974110032362	0	0	0.321739045490222	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"8"	11.1	1260	0.121428571428571	0.0634920634920635	0	0	0.34097040741811	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"9"	12.6	1256	0.140127388535032	0.0644904458598726	0	0	0.33779075450073	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"10"	14.1	1254	0.15311004784689	0.0701754385964912	0	0	0.336197128665452	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"11"	15.6	1259	0.151707704527403	0.0722795869737887	0	0	0.340176441516933	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"12"	17.1	1262	0.147385103011094	0.0697305863708399	0	0	0.342556450573745	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"13"	18.6	1300	0.156153846153846	0.0730769230769231	0	0	0.372222950922214	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"14"	20.1	1326	0.180241327300151	0.0942684766214178	0	0	0.392025578218394	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"15"	21.6	1334	0.214392803598201	0.0967016491754123	0	0	0.398040633948155	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"16"	23.1	1375	0.187636363636364	0.0952727272727273	0.000727272727272727	0.000727272727272727	0.428312417573258	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"17"	24.6	1340	0.172388059701493	0.0791044776119403	0	0	0.402528300417543	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"18"	26.1	1355	0.199261992619926	0.10479704797048	0	0	0.413660140786387	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"19"	27.6	1380	0.173913043478261	0.0811594202898551	0	0	0.431942185623837	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"20"	29.1	1403	0.214540270848182	0.108339272986458	0	0	0.448471487575047	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"21"	30.6	1383	0.211858279103398	0.115690527838033	0	0	0.434113739137344	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"22"	32.1	1396	0.209885386819484	0.10243553008596	0	0	0.443469690794904	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"23"	33.6	1419	0.212825933756166	0.121212121212121	0.00211416490486258	0.00211416490486258	0.459811084632629	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"24"	35.1	1422	0.215189873417722	0.106188466947961	0	0	0.461923017835772	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"25"	36.6	1434	0.198047419804742	0.100418410041841	0	0	0.470326428632152	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"26"	38.1	1421	0.2054890921886	0.104152005629838	0	0	0.461219535569687	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"27"	39.6	1384	0.202312138728324	0.0960982658959538	0.00144508670520231	0.000722543352601156	0.434836543650201	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"28"	41.1	1383	0.205350686912509	0.104844540853218	0	0	0.434113739137344	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"29"	42.6	1440	0.225	0.107638888888889	0.000694444444444444	0.000694444444444444	0.474501800042632	1
"AMI "	0.81	"HepG2 BIP-GFP"	"20180727_SBP-TQ_Bip_rep4"	"4"	"30"	44.1	1378	0.235123367198839	0.124818577648766	0	0	0.43049185904619	1
