"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"AnVPos_0"	"AnVPos_0.1"	"PIPos_0"	"PIPos_0.1"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"1"	1	739	0.109607577807848	0.0757780784844384	0.105548037889039	0.0649526387009472	0.0106913519784672	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"2"	2.5	707	0.0947666195190948	0.0721357850070721	0.0792079207920792	0.0466760961810467	-0.0335759030731618	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"3"	4	750	0.064	0.048	0.0133333333333333	0.00533333333333333	0.0254666375606214	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"4"	5.5	758	0.0672823218997362	0.0474934036939314	0.00527704485488127	0.00263852242744063	0.0360768166726371	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"5"	7	759	0.0118577075098814	0.00922266139657444	0.00527009222661397	0.00263504611330698	0.0373952084258953	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"6"	8.5	782	0.0153452685421995	0.010230179028133	0.00383631713554987	0.00255754475703325	0.0672481715755766	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"7"	10	812	0.0123152709359606	0.0061576354679803	0.00246305418719212	0.00123152709359606	0.104893771191943	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"8"	11.5	845	0.0118343195266272	0.0106508875739645	0.00473372781065089	0.00236686390532544	0.144730058387439	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"9"	13	836	0.0155502392344498	0.00717703349282297	0.00358851674641148	0.00239234449760766	0.134022044114967	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"10"	14.5	861	0.0139372822299652	0.00929152148664344	0.00348432055749129	0	0.163487935457996	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"11"	16	897	0.0111482720178372	0.00780379041248606	0.00445930880713489	0.00111482720178372	0.204449293089062	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"12"	17.5	901	0.0155382907880133	0.00776914539400666	0.00110987791342952	0.00110987791342952	0.208898688638603	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"13"	19	953	0.018887722980063	0.012591815320042	0.00419727177334732	0	0.265008334684468	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"14"	20.5	979	0.0224719101123595	0.0132788559754852	0.00204290091930541	0.00102145045965271	0.291925073560776	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"15"	22	980	0.0183673469387755	0.0112244897959184	0.00204081632653061	0.00102040816326531	0.292946002694883	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"16"	23.5	993	0.027190332326284	0.0181268882175227	0.00302114803625378	0	0.306124095075438	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"17"	25	1005	0.0278606965174129	0.0139303482587065	0.00398009950248756	0	0.318136251523442	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"18"	26.5	1052	0.035171102661597	0.0171102661596958	0.00285171102661597	0	0.363841824327921	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"19"	28	1089	0.0321395775941231	0.0211202938475666	0.00183654729109275	0	0.398408553963226	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"20"	29.5	1083	0.0313942751615882	0.0166204986149584	0.00277008310249307	0.000923361034164358	0.392883678031256	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"21"	31	1100	0.0427272727272727	0.02	0.00181818181818182	0	0.408458889816727	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"22"	32.5	1076	0.04182156133829	0.0185873605947955	0.000929368029739777	0	0.386399171751995	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"23"	34	1080	0.0472222222222222	0.025	0.00185185185185185	0.000925925925925926	0.390109751148531	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"24"	35.5	1078	0.0500927643784787	0.0287569573283859	0.00278293135435993	0.000927643784786642	0.388256182499208	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"25"	37	1102	0.0617059891107078	0.0272232304900181	0.00272232304900181	0.000907441016333938	0.410275420743125	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"26"	38.5	1087	0.0607175712971481	0.0294388224471021	0.00367985280588776	0	0.396570318151475	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"27"	40	1112	0.0656474820143885	0.0341726618705036	0.000899280575539568	0	0.419308905840793	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"28"	41.5	1113	0.0700808625336927	0.0341419586702606	0.00179694519317161	0	0.42020778230581	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"29"	43	1073	0.0540540540540541	0.0232991612301957	0.000931966449207828	0.000931966449207828	0.383607173660964	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"30"	44.5	1088	0.0487132352941176	0.0248161764705882	0.000919117647058824	0.000919117647058824	0.397489858446153	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"31"	46	1066	0.050656660412758	0.026266416510319	0.000938086303939962	0.000938086303939962	0.377062035756055	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"32"	47.5	1104	0.0643115942028985	0.0271739130434783	0.000905797101449275	0.000905797101449275	0.412088657867306	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"33"	49	1063	0.0667920978363123	0.0310442144873001	0.000940733772342427	0.000940733772342427	0.374243809372213	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"34"	50.5	1074	0.0549348230912477	0.0260707635009311	0.00186219739292365	0.00186219739292365	0.384538706099075	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"35"	52	1078	0.0584415584415584	0.0315398886827458	0.000927643784786642	0	0.388256182499208	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"36"	53.5	1077	0.042711234911792	0.021355617455896	0.00464252553389044	0	0.387328108186654	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"37"	55	1085	0.0525345622119816	0.0285714285714286	0.00552995391705069	0.00184331797235023	0.394728697004825	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"38"	56.5	1086	0.0598526703499079	0.0276243093922652	0.00460405156537753	0.00184162062615101	0.395649931524146	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"39"	58	1110	0.0558558558558559	0.0297297297297297	0.0045045045045045	0.0027027027027027	0.417508725336645	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"40"	59.5	1089	0.0440771349862259	0.0211202938475666	0.00367309458218549	0.000918273645546373	0.398408553963226	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"41"	61	1117	0.0608773500447628	0.0304386750223814	0.0026857654431513	0.000895255147717099	0.423795230099466	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"42"	62.5	1110	0.0630630630630631	0.027027027027027	0.0018018018018018	0.000900900900900901	0.417508725336645	1
"AMI "	0.81	"HepG2 ATF4-GFP"	"20180831_SBP-TQ_ATF4_rep5"	"5"	"43"	64	1086	0.0552486187845304	0.0220994475138122	0.00184162062615101	0.00184162062615101	0.395649931524146	1
