"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"GFP_int"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"1"	1.1	673.148648648649	2.37623321999402	-0.116015576893153	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"2"	3.1	656.530221882173	2.75456793358814	-0.141013029274257	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"3"	5.1	685.525931336742	2.98579359411849	-0.0977954301713268	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"4"	7.1	740.595945945946	3.01487267005134	-0.020526562360837	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"5"	9.1	801.550561797753	2.98532912609235	0.0585662972123238	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"6"	11.1	823.174969623329	3.08125247259269	0.0851870210539399	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"7"	13.1	879.70722001137	3.00573775579884	0.151607390768955	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"8"	15.1	897.134894091416	3.01943519138977	0.171224477542455	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"9"	17.1	945.051851851852	2.86918895021234	0.223258038860625	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"10"	19.1	948.949367088608	2.88104966766545	0.227373686410691	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"11"	21.1	971.542547705003	2.80572076657091	0.250903306933957	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"12"	23.1	957.514136125654	2.88653694341078	0.236358727711196	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"13"	25.1	948.187069422363	2.75523214332868	0.226570056589873	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"14"	27.1	990.29179331307	2.73121148355691	0.270017883609064	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"15"	29.1	997.766449020593	2.76165969289266	0.277537473094967	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"16"	31.1	1026.10102489019	2.67895323676008	0.305539728876296	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"17"	33.1	1016.98122529644	2.59951419415204	0.296612178197037	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"18"	35.1	1033.54722492697	2.62782026517139	0.312770315437748	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"19"	37.1	1042.90572390572	2.66808521198741	0.321784304750943	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"20"	39.1	1061.45398773006	2.59943412517414	0.339413176928999	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"21"	41.1	1048.12111057922	2.62468867814619	0.3267726649215	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"22"	43.1	1069.37711069418	2.58174786963421	0.346849861596465	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"23"	45.1	1062.06761229314	2.63274191298582	0.339991108022477	1
"AMI "	0.81	"HepG2 SRXN1-GFP"	"20180413_SBP-TQ_SRXN-1_rep3"	"3"	"24"	47.1	1073.36448598131	2.57031949437694	0.350571616843007	1
