"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"GFP_int"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"1"	1.1	463.242358078603	3.35756548224794	0.0467226353970199	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"2"	2.6	447.242905788876	3.84353967919255	0.0115741271060247	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"3"	4.1	448.893424036281	4.19206459044775	0.0152577633091775	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"4"	5.6	456.325084364454	4.51772288975513	0.0316777265169482	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"5"	7.1	466.185265438787	4.42851337467131	0.0530553871268937	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"6"	8.6	455.948066298343	4.74586529777818	0.0308511800219599	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"7"	10.1	480.047318611987	4.52663467356201	0.0823569461749596	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"8"	11.6	471.082340195016	4.69652094060496	0.0635051653742623	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"9"	13.1	502.032323232323	4.50848234357688	0.127136773217978	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"10"	14.6	507.181274900398	4.60216222351501	0.137340750559854	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"11"	16.1	516.681415929204	4.69615356815619	0.15589873448759	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"12"	17.6	535.963172804533	4.53049844811183	0.192537717946222	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"13"	19.1	534.905571293673	4.71164370678244	0.190562495752949	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"14"	20.6	551.340659340659	4.6811180589118	0.22082514131783	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"15"	22.1	571.224199288256	4.7555306086941	0.256254042518817	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"16"	23.6	573.779541446208	4.74921135138054	0.260717515098794	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"17"	25.1	586.375972342265	4.69795821084375	0.282433441563352	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"18"	26.6	610.0622406639	4.69420105443931	0.322033252527617	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"19"	28.1	631.946442845723	4.64868341037277	0.357276914913422	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"20"	29.6	646.307692307692	4.69141098472692	0.379747960957905	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"21"	31.1	664.326186830015	4.59039290319277	0.407245540771041	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"22"	32.6	673.277735849057	4.61235312303778	0.42063019448692	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"23"	34.1	670.664388762339	4.79448182388729	0.416741112758241	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"24"	35.6	687.858841010401	4.67603822422547	0.442055910622611	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"25"	37.1	683.967982129561	4.68772975666506	0.436383373464951	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"26"	38.6	701.455861070912	4.5244900165939	0.461630243470301	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"27"	40.1	716.285511363636	4.44300207309699	0.482551113055325	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"28"	41.6	711.997855611151	4.31421417505939	0.476547166315464	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"29"	43.1	717.837933474876	4.22180033242836	0.48471609086556	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"30"	44.6	732.557411273486	4.2086034602729	0.505013981675177	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"31"	46.1	737.816354816355	4.15954457764505	0.512167218612095	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"32"	47.6	737.721334259903	4.17895372224467	0.512038424129532	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"33"	49.1	759.333557498319	3.98593405683767	0.540913417241976	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"34"	50.6	760.491251682369	3.9299790029874	0.542436874947057	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"35"	52.1	768.225634178905	4.02943159343281	0.552555751192416	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"36"	53.6	798.453608247423	3.79900655926035	0.591149134031747	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"37"	55.1	786.724902216428	3.845962235879	0.576350901542928	1
"AMI "	0.81	"HepG2 p53-GFP"	"20180420_SBP-TQ_p53_rep4"	"4"	"38"	56.6	787.377038486627	3.82183035732323	0.577179483594251	1
