"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"GFP_int"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	1	3.1	455.742041712404	2.76598783254717	0.135713780408418	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	2	5.1	465.526315789474	2.70989698755951	0.156955456388074	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	3	7.1	474.652265542677	2.61879776684974	0.176369292357582	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	4	9.1	482.168049792531	2.7397778021028	0.192079533268434	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	5	11.1	500.644355644356	2.6961952031342	0.229682808995871	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	6	13.1	502.512437810945	2.77460257444818	0.233407220450115	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	7	15.1	520.376923076923	2.72434782895679	0.268340230028725	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	8	17.1	525.093333333333	2.7418404744441	0.277362853529434	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	9	19.1	534.091760299625	2.64510109004179	0.294354488925838	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	10	21.1	547.00731261426	2.71798692142502	0.318248999875079	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	11	23.8	564.599645704163	2.67379410437736	0.349903717263284	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	12	25.8	550.663941871026	2.7211215198887	0.324911546185098	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	13	27.8	568.598944591029	2.77209749564392	0.356962172022146	1
"AMI "	0.81	"HepG2 NRF-2-GFP"	"20180427_SBP-TQ_NRF2_rep1"	"1"	14	29.8	570.977212971078	2.8398353512919	0.361136130589288	1
