"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"GFP_int"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"1"	1	786.731722822632	0.331605190759099	-0.0852461841553991	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"2"	2.5	804.402985074627	0.341596060842717	-0.0630331197661955	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"3"	4	803.717310087173	0.356177761387806	-0.0638858856084885	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"4"	5.5	822.660790273556	0.3582228563025	-0.0405895353627582	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"5"	7	838.526252983294	0.371224835844157	-0.0214875983565333	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"6"	8.5	873.018327605957	0.379858005404996	0.0188230608495329	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"7"	10	873.073310423826	0.363450123364985	0.0188860390079412	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"8"	11.5	914.586206896552	0.353404624402123	0.065338241496482	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"9"	13	932.521715817694	0.352179735641255	0.084758950396012	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"10"	14.5	966.149068322981	0.353544425691804	0.120184648750362	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"11"	16	940.231096911608	0.413416482342605	0.0929922042357851	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"12"	17.5	975.220625962032	0.40937295875698	0.129530239846725	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"13"	19	994.628772635815	0.397038512121999	0.149236086122863	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"14"	20.5	1027.52944038929	0.387130349401285	0.18177910981596	1
"AMI "	0.81	"HepG2 BTG2-GFP"	"20180504_SBP-TQ_BTG2_rep3"	"3"	"15"	22	1036.0472972973	0.388623139780567	0.190034586948239	1
