"treatment"	"dose_uM"	"cell_line"	"plateID"	"replID"	"timeID"	"timeAfterExposure"	"cell_count"	"GFP_int"	"norm_count"	"dose_level"
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"1"	0.7	707.983745583039	3.19417646309848	-0.200224537265628	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"2"	2.2	728.508579272478	3.31505585348535	-0.171646270287242	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"3"	3.7	736.516632722335	3.45987729428027	-0.160713853366582	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"4"	5.2	756.500330469266	3.58798119327595	-0.133942702411697	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"5"	6.7	784.615041427661	3.50708864791346	-0.0974524680651451	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"6"	8.2	794.502831969792	3.57462630422721	-0.0849291220413811	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"7"	9.7	829.001206272618	3.58685809745676	-0.0424240622518923	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"8"	11.2	861.583865351132	3.51747409283022	-0.00387327319275645	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"9"	12.7	874.004576659039	3.63958565023593	0.0104399396140583	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"10"	14.2	904.06032097399	3.62751883464515	0.0442504124274294	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"11"	15.7	940.617224880383	3.57243100350345	0.0838906095154223	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"12"	17.2	962.009355509355	3.51994100586287	0.106378503200362	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"13"	18.7	994.52036199095	3.50508402706375	0.139614900205926	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"14"	20.2	1037.04725168756	3.40708402276819	0.181487100466322	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"15"	21.7	1041.06147934678	3.56783973870096	0.18535045236137	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"16"	23.2	1070.50583839327	3.41588644631131	0.213240889428872	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"17"	24.7	1093.00823421775	3.44062192746163	0.234043349261954	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"18"	26.2	1107.59954853273	3.51877157736513	0.247304711208382	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"19"	27.7	1110.26036036036	3.52392334496089	0.249704153205197	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"20"	29.2	1161.97546276367	3.45952870952966	0.29523114832676	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"21"	30.7	1174.05451448041	3.49068269204432	0.305572761651695	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"22"	32.2	1202.14059900166	3.39893334389047	0.329213406658084	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"23"	33.7	1196.63058921855	3.44812554724513	0.324619371594659	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"24"	35.2	1218.62823143209	3.36292606600318	0.34283543216959	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"25"	36.7	1227.50183299389	3.25304026278133	0.350090680461849	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"26"	38.2	1251.55773072313	3.24604253507196	0.36949856655159	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"27"	39.7	1266.11374407583	3.15824856413417	0.381061771430094	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"28"	41.2	1264.57137208383	3.1740623942345	0.379842834966506	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"29"	42.7	1300.00692307692	3.12534125232232	0.407479196399478	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"30"	44.2	1285.1246105919	3.02089040843063	0.395965293371233	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"31"	45.7	1280.25097732604	2.91656049010364	0.392165741249478	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"32"	47.2	1297.41804859236	2.82762946956894	0.405485779557735	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"33"	48.7	1301.12456747405	2.86762204690755	0.408338548931225	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"34"	50.2	1306.47856049005	2.7797252290459	0.41244500246494	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"35"	51.7	1353.38697743248	2.60667808640673	0.447719929159236	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"36"	53.2	1351.33098852277	2.58534576983474	0.44619963067962	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"37"	54.7	1395.44802867384	2.52407265616023	0.478325137720591	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"38"	56.2	1347.56697588126	2.54793445620788	0.443410332876189	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"39"	57.7	1354.72609819121	2.50108954557895	0.448708898844387	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"40"	59.2	1390.56490471054	2.39049060467589	0.474819677350895	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"41"	60.7	1421.82518466409	2.32899682818126	0.497050994084299	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"42"	62.2	1388.23342939481	2.3284481457592	0.473141631244276	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"43"	63.7	1393.17469446441	2.30367672579688	0.47669470224134	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"44"	65.2	1407.08179231863	2.32372616208964	0.486627515367634	1
"AMI "	0.81	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"45"	66.7	1411.92798864846	2.32451681551539	0.490065744732157	1
"AMI "	4.04	"HepG2MDM2-GFP"	"20180525_SBP-TQ_MDM2_rep3"	"3"	"1"	0.7	648.00077579519	3.37829046424848	-0.288753778913399	2
