,init_value,est_value
DD_ss,0.177287917,8.571625056
P53_ss,0.115275776,0.000180765
P53P_ss,0.842221977,0.967836355
EC1,0.488592376,0.351503219
EC2,0.571599577,0.908163878
EC3,0.94968695,2.058779232
EC4,0.279758905,3.165986656
EC5,0.390623734,4.061987716
EC6,0.921685466,5.498461789
tau1,0.42817612,0.040028179
buildD,0.643428514,0.082208747
buildP5,0.300340366,999.9948663
dephos,0.548492986,0.728189372
phos,0.232932842,999.9969129
degradP5_byM2,0.013874556,3.22E-07
degradP5p_byM2,0.441434098,4.641296207
buildM2,0.382443173,0.048913592
VmaxM2_byP5p,0.923604688,0.287645017
KmM2_byP5p,0.985313058,1.359464444
buildP2,0.904970794,0.058365284
VmaxP2,0.283461088,0.80903637
KmP2,0.315622714,2.915716363
buildB2,0.386253482,0.024200176
VmaxB2,0.294405986,1.061170467
KmB2,0.649461513,2.808959435
degradD_byP5,4.309179617,0.009909527
degradP5,6.486019949,5527345.385
degradP5p,-0.382491481,0.161387603
degradM2,0.741188428,0.113409117
degradP2,1.793210059,0.103185017
degradB2,1.325184525,0.085487843
