,init_value,est_value
sc_S,0.9677468602085326,2.1454386571565482
Km_S,0.7374892221709995,0.12752143492663326
VmaxM2_byN2,0.2943766143202097,0.08553035696599058
hillM2_byN2,2.0,9.999999997983428
KmM2_byN2,0.8735795349994044,0.8610055738960184
degradP5_byM2,0.3349336230867125,998.7419799685066
degradP5p_byM2,0.056456998797425356,999.8961235571987
hillP5_byM2,2.0,9.99999995937033
KmP5_byM2,0.1608291261651312,1.1016696041718912
hillP5p_byM2,2.0,9.999999991179386
KmP5p_byM2,0.40941797717336925,1.0436432128770685
degradD_byP5,0.009909527110307837,0.009909527110307837
degradP5,4169707.516264611,29794.985672948656
degradP5p,0.8330845503592329,0.003103888901918492
degradM2,0.249686039783015,0.13644355473122982
degradP2,0.10318502178820262,0.10318502178820262
degradB2,0.08548786408821893,0.08548786408821893
degradK1,0.02455192828244995,0.02455192828244995
degradN2,0.18675545260171636,0.18675545260171636
degradS1,0.04699074966476474,0.04699074966476474
