,init_value,est_value
KEAP1_ss,0.19057794677415754,83.82597611084218
EC1,0.9880052800855109,0.007973740673063645
EC2,0.0845497669930073,0.04851094810866495
EC3,0.3187581605995231,0.10302607550875327
EC4,0.8760378627755738,0.2555489107323414
EC5,0.006942800119891149,0.8255735281054942
EC6,0.6270161132284832,1.770714715235339
EC7,0.5796468397859313,2.9005083623006693
EC8,0.09830172573814203,6.452682664902457
tau1,0.1660324046004991,0.018758804625594358
buildK1,0.6122163049936984,3.6820089300829394e-12
k_K1_modification,0.8184217713036368,29.838056121002303
k_K1_unmodification,0.25643248889311804,0.7244835059460547
buildN2,0.2559653032475823,0.3646738717807788
VmaxN2_deg,0.1101717249869883,0.0026264652367016133
KmN2_deg,0.47555829324194426,1.5549992901620992e-13
buildS1,0.24926066729438157,7.479035266846213e-16
Vmax_S1,0.3601397246325217,0.666168660368431
Km_S1,0.27979791977822566,1.0933013397361242
Vmax_K1,0.734040784760687,989.0717891751657
Km_K1,0.6351291721383151,1.4345124258948168
hillS1,5.0,9.999999998792301
hillK1,5.0,9.999999997800499
degradK1,6.01856420509349,0.02455185644524697
degradN2,0.3139920303727808,0.18675540369096771
degradS1,1.4010362715475457,0.046990605331695086
