,init_value,est_value
KEAP1_ss,0.6198130276700016,1.518996291524522
EC1,0.8420034597968182,0.0006680747689518697
EC2,0.6903884948604161,0.0026605876179789396
EC3,0.9504347405003485,0.004591021966990665
EC4,0.14934289743740647,0.010729464264056203
EC5,0.766148066314858,0.041050546240085674
EC6,0.2946254380522063,0.15655690322930677
EC7,0.8916417566566014,0.9784870523821833
EC8,0.4702084446300962,6.90775527833412
tau1,0.022619595146856308,0.21035110465118545
buildK1,0.056653341171747224,0.05330853101468096
k_K1_modification,0.48805943167018234,999.9999995254274
k_K1_unmodification,0.8796892208631159,1.2084938542622063
buildN2,0.8119683715369312,0.9461000572897047
VmaxN2_deg,0.36069653783168937,0.9529486048472132
KmN2_deg,0.22338005407072364,2.2924623872010548
buildS1,0.270431609343683,2.4438820079922367e-07
Vmax_S1,0.5707774856948991,0.7846987821821393
Km_S1,0.15033098637954348,1.110862324453545
hillS1,5.0,9.999999999378735
degradK1,0.09140392125141064,0.03509457614355233
degradN2,0.8251502818958957,0.7506125565060104
degradS1,1.940657256037392,0.047412347384166886
